time,phase,gt_x,gt_y,gt_z,gt_yaw,cmd_lin,cmd_ang
0.100,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.200,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.300,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.400,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.500,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.600,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.700,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.800,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.900,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.000,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.100,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.200,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.300,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.400,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.500,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.600,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.700,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.800,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.900,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
2.000,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
2.100,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
2.200,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
2.300,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
2.400,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
2.500,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
2.600,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
2.700,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
2.800,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
2.900,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
3.000,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
3.100,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
3.200,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
3.300,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
3.400,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
3.500,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
3.600,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
3.700,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
3.800,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
3.900,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
4.000,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
4.100,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
4.200,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
4.300,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
4.400,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
4.500,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
4.600,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
4.700,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
4.800,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
4.900,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
5.000,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
5.100,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
5.200,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
5.300,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
5.400,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
5.500,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
5.600,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
5.700,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
5.800,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
5.900,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
6.000,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
6.100,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
6.200,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
6.300,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
6.400,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
6.500,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
6.600,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
6.700,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
6.800,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
6.900,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
7.000,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
7.100,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
7.200,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
7.300,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
7.400,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
7.500,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
7.600,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
7.700,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
7.800,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
7.900,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
8.000,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
8.100,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
8.200,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
8.300,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
8.400,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
8.500,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
8.600,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
8.700,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
8.800,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
8.900,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
9.000,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
9.100,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
9.200,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
9.300,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
9.400,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
9.500,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
9.600,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
9.700,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
9.800,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
9.900,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
10.000,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
10.100,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
10.200,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
10.300,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
10.400,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
10.500,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
10.600,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
10.700,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
10.800,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
10.900,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
11.000,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
11.100,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
11.200,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
11.300,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
11.400,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
11.500,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
11.600,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
11.700,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
11.800,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
11.900,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
12.000,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
12.100,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
12.200,outbound,-94.947,-6.007,0.088,0.0570,0.758,-0.295
12.300,outbound,-94.909,-6.004,0.086,0.0440,0.000,0.000
12.400,outbound,-94.883,-6.003,0.085,0.0413,0.000,0.000
